issue_title,issue_html_url,issue_pr_html_url,pr_title,bug_symptom_type,bug_symptom_detail,bug_root_cause_type,bug_root_cause_detail,repo,issue_create_date,issue_close_date,issue_duration_days,issue_comment_count,fix_change_loc,fix_change_file_count
Consider making diskcache optional or using safer serialization (CVE-2025-69872),https://github.com/PrefectHQ/fastmcp/issues/3166,https://github.com/PrefectHQ/fastmcp/pull/3185,Drop diskcache dependency (CVE-2025-69872),Deployment Failure,Deployment Failure,Integration & Environment Errors,Dependency Version Incompatibility,PrefectHQ/fastmcp,2026-02-12T19:05:37Z,2026-02-16T21:43:16Z,4.11,3,315,17
FastMCP.from_openapi() tool call fails on some models like claude when tool call with POST parameters in prompt,https://github.com/PrefectHQ/fastmcp/issues/3113,https://github.com/PrefectHQ/fastmcp/pull/3133,Fix unhandled exceptions in OpenAPI POST tool calls,Execution Error,Silent Error,Framework Implementation Defects,Error/Exception Handling Defect,PrefectHQ/fastmcp,2026-02-07T23:35:49Z,2026-02-10T18:13:47Z,2.78,4,228,4
Sampling with Tool Calls resets tool_choice,https://github.com/PrefectHQ/fastmcp/issues/3011,https://github.com/PrefectHQ/fastmcp/pull/3014,Fix tool_choice reset for structured output sampling,Execution Error,Data Processing and Parsing Error,Framework Implementation Defects,Core Functionality Logic Error,PrefectHQ/fastmcp,2026-01-28T06:52:38Z,2026-01-31T21:00:54Z,3.59,3,5,1
Pin httpx < 1.0 to prevent import error with pre-release versions,https://github.com/PrefectHQ/fastmcp/issues/2973,https://github.com/PrefectHQ/fastmcp/pull/2975,Pin httpx < 1.0 and simplify beta install docs,Deployment Failure,Deployment Failure,Integration & Environment Errors,Dependency Version Incompatibility,PrefectHQ/fastmcp,2026-01-21T20:15:09Z,2026-01-22T02:08:48Z,0.25,0,18,5
get_access_token returns None in background tasks (task=True),https://github.com/PrefectHQ/fastmcp/issues/3095,https://github.com/PrefectHQ/fastmcp/pull/3138,fix: snapshot access token for background tasks (#3095),Execution Error,Data Processing and Parsing Error,Framework Implementation Defects,Core Functionality Logic Error,PrefectHQ/fastmcp,2026-02-06T15:12:17Z,2026-02-11T15:20:16Z,5.01,11,235,4
Client side JSON decode error when server does not use UTF-8,https://github.com/modelcontextprotocol/python-sdk/issues/110,https://github.com/modelcontextprotocol/python-sdk/pull/120,add text encoding params to STDIO client,Connection Termination,Connection Termination,Framework Implementation Defects,Error/Exception Handling Defect,modelcontextprotocol/python-sdk,2024-12-22T20:46:06Z,2025-01-23T12:21:14Z,31.65,0,29,1
OAuth resource URL validation fails when client includes query parameters (RFC 8707),https://github.com/PrefectHQ/fastmcp/issues/2966,https://github.com/PrefectHQ/fastmcp/pull/2967,Normalize resource URLs before comparison to support RFC 8707 query parameters,Negotiation Failure,Authentication Failure,Authentication & Authorization Defects,OAuth/JWT Protocol Violation,PrefectHQ/fastmcp,2026-01-21T14:42:31Z,2026-01-23T00:41:04Z,1.42,0,286,2
Typing RequestContext,https://github.com/modelcontextprotocol/python-sdk/issues/36,https://github.com/modelcontextprotocol/python-sdk/pull/43,Return a specific server session instance of request context,Unexpected Side Effects,User Extensibility Issue,Framework Implementation Defects,Type Error,modelcontextprotocol/python-sdk,2024-11-10T22:33:47Z,2024-11-11T21:19:25Z,0.95,0,8,2
Passing context to Background Task,https://github.com/PrefectHQ/fastmcp/issues/2877,https://github.com/PrefectHQ/fastmcp/pull/3175,fix: propagate origin_request_id to background task workers,Connection Termination,Connection Termination,Framework Implementation Defects,Core Functionality Logic Error,PrefectHQ/fastmcp,2026-01-14T16:35:49Z,2026-02-03T00:28:43Z,19.33,6,206,6
Cannot produce `json_schema` from FastMCP Tool Type,https://github.com/PrefectHQ/fastmcp/issues/3046,https://github.com/PrefectHQ/fastmcp/pull/3048,fix: use SkipJsonSchema to exclude callable fields from JSON schema generation,Negotiation Failure,Discovery Failure,Framework Implementation Defects,Data Processing & Validation Error,PrefectHQ/fastmcp,2026-01-31T20:49:46Z,2026-02-02T02:30:49Z,1.24,3,265,9
`propertyNames.$ref` not converted by `_replace_ref_with_defs`,https://github.com/PrefectHQ/fastmcp/issues/3303,https://github.com/PrefectHQ/fastmcp/pull/3306,"OpenAPI: rewrite $ref under propertyNames and patternProperties in _replace_ref_with_defs; add regression test for dict[StrEnum, Model]",Negotiation Failure,Discovery Failure,Protocol & Specification Violations,External Specification Handling Error,PrefectHQ/fastmcp,2026-02-26T02:44:45Z,2026-02-26T21:08:56Z,0.77,0,47,2
Prompt arguments with Field() defaults receive FieldInfo object instead of default value,https://github.com/PrefectHQ/fastmcp/issues/3036,https://github.com/PrefectHQ/fastmcp/pull/3050,Fix Field() handling in prompts,Execution Error,Data Processing and Parsing Error,Framework Implementation Defects,Server-Tool Interaction Logic Error,PrefectHQ/fastmcp,2026-01-30T12:46:24Z,2026-02-02T02:28:46Z,2.57,9,180,3
Titled Options - SEP-1330 compliant schemas not working as per documentation,https://github.com/PrefectHQ/fastmcp/issues/2772,https://github.com/PrefectHQ/fastmcp/pull/2773,Fix titled enum elicitation schema to comply with MCP spec,Execution Error,Data Validation Failure,Protocol & Specification Violations,MCP/JSON-RPC Protocol Violation,PrefectHQ/fastmcp,2025-12-29T09:39:29Z,2025-12-29T13:28:37Z,0.16,3,30,2
OpenAPI tool forwards MCP transport auth headers to downstream APIs,https://github.com/PrefectHQ/fastmcp/issues/3260,https://github.com/PrefectHQ/fastmcp/pull/3262,fix: prevent MCP transport auth header from leaking to downstream OpenAPI APIs (#3260),Unexpected Side Effects,Sensitive Data Exposure,Framework Implementation Defects,Core Functionality Logic Error,PrefectHQ/fastmcp,2026-02-21T02:23:52Z,2026-02-21T14:23:28Z,0.5,5,36,4
ErrorHandlingMiddleware if not transforming errors to MCP,https://github.com/PrefectHQ/fastmcp/issues/2673,https://github.com/PrefectHQ/fastmcp/pull/2674,fix: check the cause of the tool error,Execution Error,Data Processing and Parsing Error,Framework Implementation Defects,Error/Exception Handling Defect,PrefectHQ/fastmcp,2025-12-22T14:37:26Z,2025-12-22T16:45:18Z,0.09,2,21,2
ValueError: Circular reference detected (id repeated) when using FastMCP.from_openapi with Bitbucket swagger.v3.json,https://github.com/PrefectHQ/fastmcp/issues/3242,https://github.com/PrefectHQ/fastmcp/pull/3245,Fix circular reference crash in OpenAPI schemas,Negotiation Failure,Discovery Failure,Framework Implementation Defects,Data Processing & Validation Error,PrefectHQ/fastmcp,2026-02-20T11:40:37Z,2026-02-20T14:21:55Z,0.11,1,316,4
"compress_schema strips additionalProperties: false, breaking MCP client compatibility",https://github.com/PrefectHQ/fastmcp/issues/3008,https://github.com/PrefectHQ/fastmcp/pull/3102,Fix compress_schema to preserve additionalProperties: false for MCP compatibility,Negotiation Failure,Discovery Failure,Protocol & Specification Violations,External Specification Handling Error,PrefectHQ/fastmcp,2026-01-28T01:24:00Z,2026-02-06T23:52:23Z,9.94,6,79,5
Remove outdated 'FastMCP 3.0 is coming!' CLI banner,https://github.com/PrefectHQ/fastmcp/issues/2972,https://github.com/PrefectHQ/fastmcp/pull/2974,Remove outdated 'FastMCP 3.0 is coming!' CLI banner,Unexpected Side Effects,User Extensibility Issue,Documentation & Usability Defects,Insufficient Logging & Debugging Info,PrefectHQ/fastmcp,2026-01-21T20:14:54Z,2026-01-22T01:52:41Z,0.23,0,15,1
"FastMCP integration ""quick example"" is definitely incorrect",https://github.com/PrefectHQ/fastmcp/issues/2961,https://github.com/PrefectHQ/fastmcp/pull/2962,Fix FastAPI mounting examples in docs,Deployment Failure,Deployment Failure,Documentation & Usability Defects,Outdated or Erroneous Documentation,PrefectHQ/fastmcp,2026-01-20T19:13:46Z,2026-01-20T22:58:40Z,0.16,2,33,2
Task capabilities in wrong location (experimental.tasks vs tasks),https://github.com/PrefectHQ/fastmcp/issues/2870,https://github.com/PrefectHQ/fastmcp/pull/2875,Fix task capabilities location (issue #2870),Negotiation Failure,MCP Protocol Error,Protocol & Specification Violations,MCP/JSON-RPC Protocol Violation,PrefectHQ/fastmcp,2026-01-13T22:19:34Z,2026-01-14T14:40:08Z,0.68,0,106,6
DiskStore is requiring libsqlite3 whether you are using DiskStore or not,https://github.com/PrefectHQ/fastmcp/issues/2783,https://github.com/PrefectHQ/fastmcp/pull/2784,Lazy import DiskStore to avoid sqlite3 dependency on import,Deployment Failure,Deployment Failure,Framework Implementation Defects,Core Functionality Logic Error,PrefectHQ/fastmcp,2025-12-30T13:59:53Z,2025-12-31T00:20:22Z,0.43,4,4,1
Version Check In - `utilities.openapi.schemas.extract_output_schema_from_responses` - Doesn't Include OpenAPI 3.1,https://github.com/PrefectHQ/fastmcp/issues/2767,https://github.com/PrefectHQ/fastmcp/pull/2768,[BugFix] Fix `openapi_version` Check So 3.1 Is Included,Execution Error,Data Validation Failure,Integration & Environment Errors,Integration Failure with Frameworks,PrefectHQ/fastmcp,2025-12-27T21:13:39Z,2025-12-28T04:07:21Z,0.29,0,8,1
excluded_args deprecation notice URL 404s,https://github.com/PrefectHQ/fastmcp/issues/3107,https://github.com/PrefectHQ/fastmcp/pull/3108,Updated deprecation URL for V3,Execution Error,Documentation-Behavior Mismatch,Documentation & Usability Defects,Outdated or Erroneous Documentation,PrefectHQ/fastmcp,2026-02-07T12:06:16Z,2026-02-07T13:18:41Z,0.05,0,2,1
Background tasks fail with 'require a running FastMCP server context' when using http_app() mounted to FastAPI,https://github.com/PrefectHQ/fastmcp/issues/2671,https://github.com/PrefectHQ/fastmcp/pull/2844,Fix ContextVar propagation for ASGI-mounted servers with tasks,Execution Error,Data Processing and Parsing Error,Integration & Environment Errors,Integration Failure with Frameworks,PrefectHQ/fastmcp,2025-12-22T10:20:19Z,2026-01-12T15:38:32Z,21.22,5,38,2
MCP Apps metadata lost when mounting servers via FastMCPProvider,https://github.com/PrefectHQ/fastmcp/issues/3056,https://github.com/PrefectHQ/fastmcp/pull/3057,fix: Preserve metadata in FastMCPProvider component wrappers,Execution Error,Data Processing and Parsing Error,Framework Implementation Defects,Server-Tool Interaction Logic Error,PrefectHQ/fastmcp,2026-02-02T10:57:51Z,2026-02-02T15:26:25Z,0.19,0,12,1
Resource not found: -32002 or -32001,https://github.com/PrefectHQ/fastmcp/issues/3038,https://github.com/PrefectHQ/fastmcp/pull/3041,fix: use MCP spec error code -32002 for resource not found,Execution Error,Documentation-Behavior Mismatch,Protocol & Specification Violations,MCP/JSON-RPC Protocol Violation,PrefectHQ/fastmcp,2026-01-30T17:17:15Z,2026-01-31T15:57:06Z,0.94,0,88,3
Task tool calls for tools with custom name fails without any error details,https://github.com/PrefectHQ/fastmcp/issues/2642,https://github.com/PrefectHQ/fastmcp/pull/2645,Fix task execution for tools with custom names,Execution Error,Message Routing Error,Framework Implementation Defects,Server-Tool Interaction Logic Error,PrefectHQ/fastmcp,2025-12-18T10:38:38Z,2025-12-18T16:45:08Z,0.25,4,133,4
getting a lot of redis otel spans,https://github.com/PrefectHQ/fastmcp/issues/2602,https://github.com/PrefectHQ/fastmcp/pull/2605,chore: bump pydocket to >=0.15.5,Unexpected Side Effects,User Extensibility Issue,Integration & Environment Errors,Dependency Version Incompatibility,PrefectHQ/fastmcp,2025-12-12T15:30:57Z,2025-12-12T22:35:38Z,0.29,2,95,2
Per-session visibility/tools disabling can't be reversed and affects other sessions,https://github.com/PrefectHQ/fastmcp/issues/3034,https://github.com/PrefectHQ/fastmcp/pull/3132,Fix session visibility marks leaking across sessions,Connection Termination,Connection Termination,Framework Implementation Defects,Core Functionality Logic Error,PrefectHQ/fastmcp,2026-01-30T11:33:14Z,2026-02-10T16:42:44Z,11.21,3,224,3
Server mounts nested >2 times do not route tools properly.,https://github.com/PrefectHQ/fastmcp/issues/2583,https://github.com/PrefectHQ/fastmcp/pull/2586,Fix nested server mount routing for 3+ levels deep,Execution Error,Message Routing Error,Framework Implementation Defects,Server-Tool Interaction Logic Error,PrefectHQ/fastmcp,2025-12-09T21:54:46Z,2025-12-10T02:06:49Z,0.18,2,174,2
KeyError: 'ctx' when registering Context-dependent tool wrapped by async decorator (fastmcp>=2.13.2),https://github.com/PrefectHQ/fastmcp/issues/2524,https://github.com/PrefectHQ/fastmcp/pull/2566,Add regression tests for functools.wraps + Context (#2524),Deployment Failure,Deployment Failure,Framework Implementation Defects,Server-Tool Interaction Logic Error,PrefectHQ/fastmcp,2025-12-02T16:49:51Z,2025-12-06T16:57:37Z,4.01,4,123,4
combine_lifespans type annotation incompatible with Starlette's Lifespan,https://github.com/PrefectHQ/fastmcp/issues/3004,https://github.com/PrefectHQ/fastmcp/pull/3005,fix: broaden combine_lifespans type to accept Mapping return types,Deployment Failure,Deployment Failure,Framework Implementation Defects,Type Error,PrefectHQ/fastmcp,2026-01-27T01:10:01Z,2026-01-28T20:55:01Z,1.82,0,47,2
Forced re-auth every hour when upstream OAuth access tokens lack refresh/expiry (GitHub OAuth app),https://github.com/PrefectHQ/fastmcp/issues/2534,https://github.com/PrefectHQ/fastmcp/pull/2587,Add smart fallback for missing access token expiry,Negotiation Failure,Authentication Failure,Authentication & Authorization Defects,Vendor/Client Implementation Inconsistency,PrefectHQ/fastmcp,2025-12-03T16:36:53Z,2025-12-10T02:31:18Z,6.41,2,99,3
FastMCP Output Validation Bug: Incorrectly Expects Array for Object Response,https://github.com/PrefectHQ/fastmcp/issues/2472,https://github.com/PrefectHQ/fastmcp/pull/3134,Add validate_output option for OpenAPI tools,Execution Error,Data Validation Failure,Framework Implementation Defects,Data Processing & Validation Error,PrefectHQ/fastmcp,2025-11-23T02:40:57Z,2026-02-10T18:29:46Z,79.66,2,268,7
Proxy's call_tool meta attribute not being forwarded,https://github.com/PrefectHQ/fastmcp/issues/2525,https://github.com/PrefectHQ/fastmcp/pull/2526,Fix proxy tool result meta attribute forwarding,Execution Error,Data Processing and Parsing Error,Framework Implementation Defects,Core Functionality Logic Error,PrefectHQ/fastmcp,2025-12-02T19:55:28Z,2025-12-09T18:58:39Z,6.96,1,19,2
3.0 - ToolTransformConfig lost its enabled setting,https://github.com/PrefectHQ/fastmcp/issues/2969,https://github.com/PrefectHQ/fastmcp/pull/2991,Add enabled field to ToolTransformConfig,Deployment Failure,Deployment Failure,Framework Implementation Defects,Server-Tool Interaction Logic Error,PrefectHQ/fastmcp,2026-01-21T18:51:01Z,2026-01-22T22:44:40Z,1.16,3,200,4
Task polling statusMessage not forwarded to MCP client,https://github.com/PrefectHQ/fastmcp/issues/2904,https://github.com/PrefectHQ/fastmcp/pull/2906,feat: distributed notification queue + BLPOP elicitation for background tasks,Execution Error,Data Processing and Parsing Error,Framework Implementation Defects,Core Functionality Logic Error,PrefectHQ/fastmcp,2026-01-18T02:27:44Z,2026-02-10T20:32:56Z,23.75,4,1593,8
Issue: Unable to Log Server's initialize Response When Using MCP Proxy,https://github.com/PrefectHQ/fastmcp/issues/2504,https://github.com/PrefectHQ/fastmcp/pull/2516,Expose InitializeResult to middleware,Execution Error,Documentation-Behavior Mismatch,Framework Implementation Defects,Core Functionality Logic Error,PrefectHQ/fastmcp,2025-12-01T15:13:27Z,2025-12-02T01:55:31Z,0.45,1,73,3
Self-referencing types not supported correctly in structured output,https://github.com/PrefectHQ/fastmcp/issues/2421,https://github.com/PrefectHQ/fastmcp/pull/2426,Simplify _is_object_schema helper,Execution Error,Data Processing and Parsing Error,Framework Implementation Defects,Data Processing & Validation Error,PrefectHQ/fastmcp,2025-11-14T19:57:28Z,2025-11-15T17:21:22Z,0.89,1,41,2
Refresh tokens don't work when running multiple containers,https://github.com/PrefectHQ/fastmcp/issues/2478,https://github.com/PrefectHQ/fastmcp/pull/2483,Fix OAuth proxy refresh token storage for multi-instance deployments,Negotiation Failure,Authentication Failure,Framework Implementation Defects,Core Functionality Logic Error,PrefectHQ/fastmcp,2025-11-24T23:33:16Z,2025-12-01T14:26:28Z,6.62,4,161,1
Generated schema from tools using enum is rejected by Claude Opus,https://github.com/PrefectHQ/fastmcp/issues/2807,https://github.com/PrefectHQ/fastmcp/pull/2808,Dereference $ref in tool schemas for MCP client compatibility,Negotiation Failure,MCP Protocol Error,Protocol & Specification Violations,External Specification Handling Error,PrefectHQ/fastmcp,2026-01-07T19:30:05Z,2026-01-07T23:30:09Z,0.17,6,505,9
FastMCP returns 400 instead of 401 for expired auth tokens,https://github.com/PrefectHQ/fastmcp/issues/2461,https://github.com/PrefectHQ/fastmcp/pull/2800,Return 401 for invalid_grant token errors per MCP spec,Negotiation Failure,Authentication Failure,Protocol & Specification Violations,MCP/JSON-RPC Protocol Violation,PrefectHQ/fastmcp,2025-11-20T22:46:15Z,2026-01-06T22:51:34Z,47,2,88,2
Redis TTL expiry breaking clients refreshing access tokens using refresh_token,https://github.com/PrefectHQ/fastmcp/issues/2406,https://github.com/PrefectHQ/fastmcp/pull/2410,fix: upstream token cache expires when refresh expires,Negotiation Failure,Authentication Failure,Authentication & Authorization Defects,Incomplete Authentication Flow,PrefectHQ/fastmcp,2025-11-10T15:45:52Z,2025-11-15T15:32:35Z,4.99,3,10,1
The `exclude_args` parameter in fastmcp is not working.,https://github.com/PrefectHQ/fastmcp/issues/2431,https://github.com/PrefectHQ/fastmcp/pull/2440,Fix exclude_args with non-serializable types,Deployment Failure,Deployment Failure,Framework Implementation Defects,Server-Tool Interaction Logic Error,PrefectHQ/fastmcp,2025-11-17T03:09:22Z,2025-11-22T17:02:30Z,5.58,1,108,5
"Misleading ""In-Process Network Testing"" documentation for run_server_async",https://github.com/PrefectHQ/fastmcp/issues/2395,https://github.com/PrefectHQ/fastmcp/pull/2423,docs: fix run_server_async documentation,Execution Error,Documentation-Behavior Mismatch,Documentation & Usability Defects,Outdated or Erroneous Documentation,PrefectHQ/fastmcp,2025-11-07T15:07:42Z,2025-11-15T17:07:23Z,8.08,3,21,1
task.cancel() does not actually interrupt running tool execution (Docket limitation?),https://github.com/PrefectHQ/fastmcp/issues/2679,https://github.com/PrefectHQ/fastmcp/pull/2683,Bump pydocket to 0.16.3 for task cancellation support,Execution Error,Documentation-Behavior Mismatch,Integration & Environment Errors,Dependency Version Incompatibility,PrefectHQ/fastmcp,2025-12-23T03:19:54Z,2025-12-23T19:42:15Z,0.68,2,115,6
extra_token_params not passed to refresh_token call in OAuth Proxy,https://github.com/PrefectHQ/fastmcp/issues/2386,https://github.com/PrefectHQ/fastmcp/pull/2387,fix(oauth_proxy): :bug: add _extra_token_params as kwargs in refresh_...,Negotiation Failure,Authentication Failure,Authentication & Authorization Defects,Incomplete Authentication Flow,PrefectHQ/fastmcp,2025-11-06T17:33:53Z,2025-11-15T15:33:53Z,8.92,0,1,1
"OAuth proxy times out after 5 minutes, requires Claude to re-connect",https://github.com/PrefectHQ/fastmcp/issues/2670,https://github.com/PrefectHQ/fastmcp/pull/2796,Fix OAuth token storage TTL calculation,Negotiation Failure,Authentication Failure,Authentication & Authorization Defects,Incomplete Authentication Flow,PrefectHQ/fastmcp,2025-12-22T02:55:45Z,2026-01-06T21:55:34Z,15.79,10,288,4
Experimental OpenAPI parser drops needed $defs for response output schemas,https://github.com/PrefectHQ/fastmcp/issues/2397,https://github.com/PrefectHQ/fastmcp/pull/2398,fix(OpenAPIParser): Fix missing $defs for response schemas in experimental OpenAPI parser,Negotiation Failure,Discovery Failure,Protocol & Specification Violations,External Specification Handling Error,PrefectHQ/fastmcp,2025-11-07T23:06:23Z,2025-11-11T09:01:51Z,3.41,2,33,1
Re-authentication is occasionally required when using MCP.,https://github.com/PrefectHQ/fastmcp/issues/2628,https://github.com/PrefectHQ/fastmcp/pull/3001,fix: automatically include offline_access as a scope in the Azure provider to enable automatic token refreshing,Negotiation Failure,Authentication Failure,Authentication & Authorization Defects,Vendor/Client Implementation Inconsistency,PrefectHQ/fastmcp,2025-12-15T08:53:12Z,2026-01-29T14:15:11Z,45.22,15,81,3
DebugTokenVerifier is mentioned in documentation but not included in latest distribution,https://github.com/PrefectHQ/fastmcp/issues/2388,https://github.com/PrefectHQ/fastmcp/pull/2390,Add version badge for DebugTokenVerifier,Execution Error,Documentation-Behavior Mismatch,Documentation & Usability Defects,Outdated or Erroneous Documentation,PrefectHQ/fastmcp,2025-11-06T22:27:27Z,2025-11-06T23:25:27Z,0.04,3,2,1
`get_http_headers()` breaking change when migrating from `v2.12.5` -> `v2.13.0.2`,https://github.com/PrefectHQ/fastmcp/issues/2364,https://github.com/PrefectHQ/fastmcp/pull/2370,Fix get_http_headers() returning empty dict in on_initialize middleware,Negotiation Failure,Authentication Failure,Framework Implementation Defects,Core Functionality Logic Error,PrefectHQ/fastmcp,2025-11-04T12:31:08Z,2025-11-04T16:28:57Z,0.17,3,10,1
The prefix when composing multiple FastMCP servers bypasses the 56 character limit and doesn't get truncated,https://github.com/PrefectHQ/fastmcp/issues/2596,https://github.com/PrefectHQ/fastmcp/pull/2619,Add tool_names parameter to mount() for name overrides,Negotiation Failure,Discovery Failure,Framework Implementation Defects,Server-Tool Interaction Logic Error,PrefectHQ/fastmcp,2025-12-11T20:01:33Z,2025-12-15T01:56:43Z,3.25,6,128,2
.env files don't work,https://github.com/PrefectHQ/fastmcp/issues/2315,https://github.com/PrefectHQ/fastmcp/pull/2329,2.14 deprecation removals,Deployment Failure,Deployment Failure,Framework Implementation Defects,Core Functionality Logic Error,PrefectHQ/fastmcp,2025-10-30T18:08:37Z,2025-12-01T19:11:01Z,32.04,3,1854,41
get_well_known_routes() oauth-authorization-server URL doesn't provide path suffix (RFC 8414 violation),https://github.com/PrefectHQ/fastmcp/issues/2527,https://github.com/PrefectHQ/fastmcp/pull/2533,Fix RFC 8414 path-aware authorization server metadata discovery,Negotiation Failure,Discovery Failure,Authentication & Authorization Defects,OAuth/JWT Protocol Violation,PrefectHQ/fastmcp,2025-12-02T22:04:56Z,2025-12-04T00:17:00Z,1.09,1,445,8
Resource templates with only query parameters fail to match URIs without query strings,https://github.com/PrefectHQ/fastmcp/issues/2322,https://github.com/PrefectHQ/fastmcp/pull/2323,Fix query-only resource templates not matching URIs without query strings,Execution Error,Data Processing and Parsing Error,Framework Implementation Defects,Core Functionality Logic Error,PrefectHQ/fastmcp,2025-10-31T18:38:38Z,2025-11-01T15:27:38Z,0.87,0,112,2
KeyError: 'websockets-sansio' when running FastMCP server with streamable-http transport,https://github.com/PrefectHQ/fastmcp/issues/2299,https://github.com/PrefectHQ/fastmcp/pull/2307,Require uvicorn>=0.35 for websockets-sansio support,Deployment Failure,Deployment Failure,Integration & Environment Errors,Dependency Version Incompatibility,PrefectHQ/fastmcp,2025-10-29T06:00:08Z,2025-10-31T14:22:56Z,2.35,2,3,2
OIDC Proxy Implementation is missing the declaration in the __init__.py,https://github.com/PrefectHQ/fastmcp/issues/2298,https://github.com/PrefectHQ/fastmcp/pull/2308,Add OIDCProxy to auth module exports,Deployment Failure,Deployment Failure,Framework Implementation Defects,Core Functionality Logic Error,PrefectHQ/fastmcp,2025-10-29T03:13:17Z,2025-10-29T18:28:27Z,0.64,6,2,1
Client Metadata is not passed to MCPConfig Servers,https://github.com/PrefectHQ/fastmcp/issues/2519,https://github.com/PrefectHQ/fastmcp/pull/2520,add client kwargs to proxy clients and meta to proxy tool calls,Unexpected Side Effects,User Extensibility Issue,Framework Implementation Defects,Core Functionality Logic Error,PrefectHQ/fastmcp,2025-12-02T04:56:20Z,2025-12-05T09:02:22Z,3.17,2,14,2
FastMCP - openapi-core and werkzeug versions Conflict,https://github.com/PrefectHQ/fastmcp/issues/2286,https://github.com/PrefectHQ/fastmcp/pull/2291,Replace openapi-core with jsonschema-path,Deployment Failure,Deployment Failure,Integration & Environment Errors,Dependency Version Incompatibility,PrefectHQ/fastmcp,2025-10-28T12:35:17Z,2025-10-28T13:46:53Z,0.05,1,362,2
from key_value.aio.wrappers.encryption import FernetEncryptionWrapper Does not exist,https://github.com/PrefectHQ/fastmcp/issues/2284,https://github.com/PrefectHQ/fastmcp/pull/2288,Fix py-key-value-aio minimum version to 0.2.8,Deployment Failure,Deployment Failure,Integration & Environment Errors,Dependency Version Incompatibility,PrefectHQ/fastmcp,2025-10-28T02:58:32Z,2025-10-28T13:30:05Z,0.44,2,4,2
OAuth Token rejected (401 invalid_token) when using AzureProvider with FastMCP client,https://github.com/PrefectHQ/fastmcp/issues/2263,https://github.com/PrefectHQ/fastmcp/pull/2269,Fix Azure scope validation,Negotiation Failure,Authentication Failure,Authentication & Authorization Defects,OAuth/JWT Protocol Violation,PrefectHQ/fastmcp,2025-10-26T10:04:43Z,2025-10-26T15:41:23Z,0.23,4,233,4
Incompatibility between FastMCP output for Enum types versus MCP inspector expectations,https://github.com/PrefectHQ/fastmcp/issues/2236,https://github.com/PrefectHQ/fastmcp/pull/2808,Dereference $ref in tool schemas for MCP client compatibility,Negotiation Failure,MCP Protocol Error,Protocol & Specification Violations,External Specification Handling Error,PrefectHQ/fastmcp,2025-10-24T19:12:25Z,2026-01-07T19:33:50Z,75.01,3,505,9
UvxStdioTransport not updating env through env_vars param,https://github.com/PrefectHQ/fastmcp/issues/2167,https://github.com/PrefectHQ/fastmcp/pull/2169,Update environment vars in uvx transport,Execution Error,Silent Error,Integration & Environment Errors,Environment Configuration Issue,PrefectHQ/fastmcp,2025-10-21T13:06:48Z,2025-10-21T14:01:51Z,0.04,0,1,1
Tool.from_tool with hidden parameters corrupts parent tool's $defs schema,https://github.com/PrefectHQ/fastmcp/issues/2492,https://github.com/PrefectHQ/fastmcp/pull/2493,fix: prevent $defs mutation in Tool.from_tool transforms,Connection Termination,Connection Termination,Framework Implementation Defects,Server-Tool Interaction Logic Error,PrefectHQ/fastmcp,2025-11-26T21:43:33Z,2025-11-26T21:52:02Z,0.01,1,4,1
"Non-existing prompt error is converted to ""MCP internal error"" rather than ""MCP Resource not found"" error  in ErrorHandlingMiddleware",https://github.com/PrefectHQ/fastmcp/issues/2127,https://github.com/PrefectHQ/fastmcp/pull/2133,transform NotFoundError to standard MCP error,Execution Error,Data Processing and Parsing Error,Framework Implementation Defects,Error/Exception Handling Defect,PrefectHQ/fastmcp,2025-10-17T14:29:37Z,2025-10-18T15:46:58Z,1.05,5,16,2
AzureProvider: AADSTS65001 on refresh_token for Microsoft Graph despite offline_access + admin consent,https://github.com/PrefectHQ/fastmcp/issues/2468,https://github.com/PrefectHQ/fastmcp/pull/2462,Fix Azure OAuth token refresh with unprefixed scopes,Negotiation Failure,Authentication Failure,Authentication & Authorization Defects,OAuth/JWT Protocol Violation,PrefectHQ/fastmcp,2025-11-21T17:29:49Z,2025-11-22T17:16:39Z,0.99,2,316,3
Server granted unauthorized scopes in Microsoft Entra OAuth,https://github.com/PrefectHQ/fastmcp/issues/2151,https://github.com/PrefectHQ/fastmcp/pull/2243,Fix Azure scope mismatch causing MCP client validation errors,Negotiation Failure,Authentication Failure,Authentication & Authorization Defects,Vendor/Client Implementation Inconsistency,PrefectHQ/fastmcp,2025-10-20T16:30:42Z,2025-10-24T21:45:50Z,4.22,8,139,2
Fix missing import in Tool Transformation docs,https://github.com/PrefectHQ/fastmcp/issues/2106,https://github.com/PrefectHQ/fastmcp/pull/2108,Fix missing import in Tool Transformation docs.,Deployment Failure,Deployment Failure,Documentation & Usability Defects,Outdated or Erroneous Documentation,PrefectHQ/fastmcp,2025-10-15T19:45:56Z,2025-10-16T00:49:20Z,0.21,1,2,1
Standard OIDC scopes get prefixed in azure auth provider,https://github.com/PrefectHQ/fastmcp/issues/2451,https://github.com/PrefectHQ/fastmcp/pull/2506,Fix Azure provider OIDC scope handling,Negotiation Failure,Authentication Failure,Authentication & Authorization Defects,Vendor/Client Implementation Inconsistency,PrefectHQ/fastmcp,2025-11-19T09:58:03Z,2025-12-01T18:42:37Z,12.36,2,254,3
